id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
27477,2601303034,มอสวรรค์วนาราม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2555-12-24,ได้รับ,2560-09-01,//,แม่เล่ย์,แม่วงก์,นครสวรรค์,60150,,,,,,,6,,,,,,,,,
27478,3620301006,มอสังเวียน,วัดราษฎร์,มหานิกาย,ตั้งวัด,2541-04-27,ไม่ได้รับ,-,,คลองน้ำไหล,คลองลาน,กำแพงเพชร,62180,,,,,,,4,,,,,,,,,
27479,3620102005,มอสำเภาพัฒนาราม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2522-07-31,ได้รับ,2567-03-21,//,ไตรตรึงษ์,เมืองกำแพงเพชร,กำแพงเพชร,62160,,,,,,,9,,,,,,,,,
27480,3620303006,มอสำราญ,วัดราษฎร์,มหานิกาย,ตั้งวัด,2535-02-24,ได้รับ,2548-01-27,,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,62180,,,,,,,7,,,,,,,,,
27481,3620103009,มอสำราญ,วัดราษฎร์,มหานิกาย,ตั้งวัด,2544-05-18,ไม่ได้รับ,-,,อ่างทอง,เมืองกำแพงเพชร,กำแพงเพชร,62000,,,,,,,15,,,,,,,,,
27482,3620114001,มอสูง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2531-10-27,ไม่ได้รับ,-,,วังทอง,เมืองกำแพงเพชร,กำแพงเพชร,62000,,,,,,,1,,,,,,,,,
27483,4300805009,มอสูง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2546-04-18,ไม่ได้รับ,-,,ตะเคียน,ด่านขุนทด,นครราชสีมา,30210,,,,,,,10,,,,,,,,,
27484,3620901014,มอแสงทอง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2556-10-31,ไม่ได้รับ,-,,โพธิ์ทอง,ปางศิลาทอง,กำแพงเพชร,62120,,,,,,,17,,,,,,,,,
27485,3620509009,มอหินเพิง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2555-11-22,ไม่ได้รับ,-,,วังไทร,คลองขลุง,กำแพงเพชร,62120,,,,,,,14,,,,,,,,,
27486,3620407012,มอเหลือง,วัดราษฎร์,มหานิกาย,ตั้งวัด,2558-03-09,ไม่ได้รับ,-,,บ่อถ้ำ,ขาณุวรลักษบุรี,กำแพงเพชร,62140,,,,,,,5,,,,,,,,,
